Unnamed: 0,ID,Name,Frequency,Distribution
0,sm10-112,Spiritomb,18,110
1,sm9-99,Jirachi,54,234
2,sm11-76,Jynx,8,67
3,sm6-77,Buzzwole,4,67
4,swsh1-117,Galarian Zigzagoon,9,135
5,sm11-86,Giratina,5,86
6,sm10-75,Mewtwo,6,97
7,sm10-57,Dedenne-GX,16,223
8,sm12-95,Oricorio-GX,6,99
9,sm6-79,Yveltal-GX,2,37
10,sm11-46,Cryogonal,1,19
11,sm9-33,Pikachu & Zekrom-GX,2,13
12,swsh2-67,Boltund V,2,13
13,sm11-54,Raichu & Alolan Raichu-GX,1,13
14,sm8-86,Zeraora-GX,1,13
15,sm9-51,Tapu Koko â™¢,1,13
16,sm10-81,Marshadow,1,13
17,swsh2-19,Eldegoss V,3,40
18,swsh1-138,Zacian V,43,302
19,sm10-120,Lucario & Melmetal-GX,3,24
20,smp-SM107,Dusk Mane Necrozma,1,12
21,swsh1-148,Oranguru,18,184
22,smp-SM244,Aipom,1,12
23,swsh1-139,Zacian V,4,15
24,det1-11,Mr. Mime,1,15
25,sm7-97,Jirachi â™¢,1,15
26,sm11-140,Hoopa,1,15
27,swsh2-92,Dragapult V,13,66
28,swsh2-93,Dragapult VMAX,12,66
29,sm9-53,Gengar & Mimikyu-GX,1,17
30,sm8-97,Giratina,2,32
31,sm12-57,Phione,4,64
32,sm10-32,Blacephalon,13,62
33,swsh1-155,Cramorant V,4,62
34,sm8-52,Blacephalon-GX,6,92
35,sm11-53,Tapu Fini,5,74
36,swsh1-25,Victini V,1,15
37,sm6-50,Inkay,1,19
38,sm6-51,Malamar,1,19
39,sm8-118,Alolan Meowth,1,19
40,sm8-106,Nihilego,1,16
