,ID,Name,Frequency,Distribution
0,swsh1-145,Minccino,8,38
1,swsh1-147,Cinccino,8,38
2,swsh1-138,Zacian V,4,38
3,sm5-114,Oranguru,4,38
4,sm8-154,Ditto â—‡,3,58
5,sm8-44,Magcargo-GX,2,38
6,sm12-69,Magneton,1,20
7,sm8-94,Girafarig,2,38
8,sm10-76,Mew,1,20
9,sm11-71,Mewtwo & Mew-GX,4,58
10,sm8-93,Wobbuffet,2,38
11,sm6-50,Inkay,3,20
12,sm6-51,Malamar,4,20
13,smp-SM217,Trevenant & Dusknoir-GX,2,20
14,sm10-57,Dedenne-GX,2,20
15,sm12-158,Naganadel & Guzzlord-GX,1,20
16,sm11-160,Naganadel-GX,1,20
17,sm9-53,Gengar & Mimikyu-GX,1,20
18,sm6-95,Ultra Necrozma-GX,1,20
19,sm9-88,Absol,1,20
