Unnamed: 0,ID,Name,Frequency,Distribution
0,sm9-99,Jirachi,69,317
1,swsh1-148,Oranguru,30,335
2,det1-11,Mr.Mime,2,15
3,sm7-97,Jirachi,1,15
4,swsh1-139,Zamazenta V,12,106
5,smp-SM107,Dusk Mane Necrozma,2,27
6,sm10-57,Dedenne-GX,44,336
7,sm12-156,Arceus Dialga Palkia-GX,38,230
8,swsh2-19,Eldegoss V,10,119
9,sm10-120,Lucario & Melmetal-GX,7,48
10,smp-SM244,Aipom,1,12
11,sm10-76,Mew,17,302
12,sm10-32,Blacephalon,24,105
13,swsh1-155,Cramorant V,6,90
14,sm8-52,Blacephalon-GX,7,105
15,sm12-95,Oricorio-GX,8,121
16,sm11-53,Tapu Fini,6,86
17,sm10-75,Mewtwo,5,76
18,swsh1-117,Galarian Zigzagoon,2,30
19,swsh1-145,Minccino,42,213
20,swsh1-147,Cinccino,42,213
21,sm5-114,Oranguru,36,353
22,sm7-31,Articuno-GX,4,59
23,sm8-94,Girafarig,13,247
24,sm9-100,Bronzor,4,24
25,sm9-101,Bronzong,4,24
26,swsh3-104,Crobat V,14,160
27,sm11-141,Mawile-GX,10,125
28,swsh2-138,Duraludon,3,37
