,ID,Name,Frequency,Distribution
0,sm9-99,Jirachi,8,28
1,sm10-32,Blacephalon,7,28
2,sm8-52,Blacephalon-GX,2,28
3,swsh1-155,Cramorant V,1,13
4,sm10-57,Dedenne-GX,3,44
5,sm12-95,Oricorio-GX,2,28
6,sm10-75,Mewtwo,2,28
7,sm11-71,Mewtwo & Mew-GX,3,16
8,sm6-50,Inkay,2,16
9,sm8-154,Ditto â—‡,1,16
10,sm6-51,Malamar,3,16
11,smp-SM217,Trevenant & Dusknoir-GX,2,16
12,sm9-53,Gengar & Mimikyu-GX,1,16
13,sm11-160,Naganadel-GX,1,16
14,swsh3-104,Crobat V,1,16
15,swsh1-138,Zacian V,1,15
16,sm75-7,Victini â—‡,1,15
